"","C001F","C002F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"MAG001",288899,190312,116358,12905,13493,9383,106297,19,197412,10483,45602
"MAG002",410700,85225,143124,100801,63726,273960,94210,88305,89070,104602,48209
"MAG003",476331,126035,34969,8357,6026,22346,107205,26062,406118,16980,11235
"MAG004",1370953,11436,40473,24179,23015,21955,24037,36965,23880,36516,22955
"MAG005",651150,1547489,1683035,114072,8874,88679,2019293,5561,6777342,404532,18729
"MAG006",664706,203403,693624,27409,261339,36973,40830,166473,236666,219698,136638
"MAG007",326989,730303,4400,85870,106,137776,9646,24,230753,241196,37
"MAG008",583474,567509,675465,321932,18057,103341,245505,49704,3582,19931,246527
"MAG009",179417,744162,46572,12516,36271,47092,144269,20385,40539,49362,7836
"MAG010",12869748,43430,1594308,3554724,7079058,6856111,4363617,6305968,8402871,7011841,7998301
"MAG011",342862,633,310685,286846,74189,9583,226488,209913,154387,104250,63067
"MAG012",2885,1305702,10065,14532,2649,7673,13785,6538,5784,11873,2773
"MAG013",80141,314330,266276,37336,27477,115399,205520,32126,366218,67517,30808
"MAG014",3687,502525,39395,37360,10251,7310,104059,19515,744745,2944,5114
"MAG015",162820,1925925,1898558,76018,527393,67395,164173,336819,805692,587405,376387
"MAG016",24988,596447,351418,847407,6746,16988,170495,17020,617454,23027,47320
"MAG017",418150,1095951,195356,365335,182630,138331,131446,1061103,402289,127517,275745
"MAG018",1845,300529,13666,1134,665,4014,4980,1561,99544,1110,398
"MAG019",105613,209233,26466,31745,16614,101123,69450,27596,41484,62400,17302
"MAG020",419505,387041,158,152752,60,191734,36884,91,445062,214441,17675
"MAG021",251550,5260858,8435774,348318,1947885,3557492,1291396,3172571,1901752,196042,1993270
"MAG022",6292,209494,231327,4572,10933,39293,49875,9267,2987,18461,12716
"MAG023",19605,155242,9695,15022,2620,33532,40015,29682,7392,12622,5637
"MAG024",68052,257215,17225,14067,1357,2663,3546,1592,2108,3030,9626
